path,truth,argmax_class,argmax_confidence,gate_class,allow_accept
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00000_trashnet_cardboard.jpg,reject,accept,0.8231527209281921,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00018_realwaste_Plastic.jpg,reject,accept,0.9329885244369507,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00023_realwaste_Paper.jpg,reject,accept,0.9098752737045288,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00039_realwaste_Paper.jpg,reject,accept,0.7929285168647766,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00078_trashnet_cardboard.jpg,reject,accept,0.7872462868690491,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00079_trashnet_metal.jpg,reject,accept,0.7347922325134277,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00081_realwaste_Metal.jpg,reject,accept,0.995252251625061,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00119_realwaste_Vegetation.jpg,reject,accept,0.9863893389701843,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00126_realwaste_Cardboard.jpg,reject,accept,0.8847194314002991,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00131_realwaste_Plastic.jpg,reject,accept,0.8267083764076233,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00144_realwaste_Vegetation.jpg,reject,accept,0.9917160868644714,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00200_realwaste_Food_Organics.jpg,reject,accept,0.734032928943634,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00209_realwaste_Food_Organics.jpg,reject,accept,0.9483432173728943,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00235_trashnet_plastic.jpg,reject,accept,0.913459300994873,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00248_trashnet_metal.jpg,reject,accept,0.9294511675834656,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00256_realwaste_Paper.jpg,reject,accept,0.9673887491226196,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00260_trashnet_plastic.jpg,reject,accept,0.9167961478233337,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00267_realwaste_Paper.jpg,reject,accept,0.9910994172096252,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00275_realwaste_Vegetation.jpg,reject,accept,0.9967458248138428,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00276_realwaste_Metal.jpg,reject,accept,0.9999738931655884,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00286_trashnet_paper.jpg,reject,accept,0.8388428688049316,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00290_realwaste_Paper.jpg,reject,accept,0.7526770234107971,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00300_trashnet_paper.jpg,reject,accept,0.9621832370758057,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00311_realwaste_Paper.jpg,reject,accept,0.8663819432258606,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00312_realwaste_Paper.jpg,reject,accept,0.8937276601791382,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00325_realwaste_Metal.jpg,reject,accept,0.6871707439422607,accept,True
/tmp/vision-eval-20260601T144442Z-hard-negative/dataset/test/reject/00326_trashnet_paper.jpg,reject,accept,0.9539102911949158,accept,True
